attr_key,attr_name,machine_attr,attr_code,unit,ct_ref,attr_desc,result_type,test_key
10083,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10084,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10015
10085,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10086,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10087,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10015
10088,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10089,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10015
10090,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10015
10091,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10092,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10093,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10015
10094,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10095,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10015
10096,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10015
10097,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10015
10098,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10015
10099,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10100,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10101,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10015
10102,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10015
10103,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10015
10104,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10105,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10106,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10015
10107,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10015
10108,*Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10015
10109,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10110,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10111,Pus Cell,WBCM,ATTRCODE,Null,BSH,Desc,1,10016
10112,AFB,Default,ATTRCODE,Null,BSH,Desc,1,10016
10113,HIV Ab I&II,639,ATTRCODE,Null,BSH,Desc,1,10017
10114,Serum Iron,Fe,ATTRCODE,?g/dl,BSH,Desc,1,10018
10115,TIBC,530,ATTRCODE,?g/dl,BSH,Desc,1,10018
10116,Serum Ferritin,Ferritin,ATTRCODE,ng/ml,BSH,Desc,1,10018
10117,Serum Iron,Fe,ATTRCODE,?g/dl,BSH,Desc,1,10019
10118,TIBC,530,ATTRCODE,?g/dl,BSH,Desc,1,10019
10119,Serum Ferritin,Ferritin,ATTRCODE,ng/ml,BSH,Desc,1,10019
10120,Histopathology,Default,ATTRCODE,Null,BSH,Desc,1,10020
10121,CD99,Default,ATTRCODE,Null,BSH,Desc,1,10021
10122,CD23,Default,ATTRCODE,Null,BSH,Desc,1,10022
10123,Anti-Phospholipid IgG,Default,ATTRCODE,U/mL,BSH,Desc,1,10023
10124,Sinovial Fluid for MTB PCR,Default,ATTRCODE,Null,BSH,Desc,1,10024
10125,BAL for TV C/S,Default,ATTRCODE,Null,BSH,Desc,1,10025
10126,PUS for C/S (FAN Mathod),Default,ATTRCODE,Null,BSH,Desc,1,10026
10127,Synovial Fluid For Phosphate(PO4),Default,ATTRCODE,mmol/L,BSH,Desc,1,10027
10128,Synovial Fluid for Chloride,Default,ATTRCODE,mmol/L,BSH,Desc,1,10028
10129,Histopathology,Default,ATTRCODE,Null,BSH,Desc,1,10029
10130,CD117,Default,ATTRCODE,Null,BSH,Desc,1,10030
10131,CD138,Default,ATTRCODE,Null,BSH,Desc,1,10031
10132,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10133,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10032
10134,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10032
10135,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10136,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10137,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10032
10138,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10139,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10032
10140,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10141,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10032
10142,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10032
10143,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10032
10144,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10032
10145,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10032
10146,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10032
10147,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10032
10148,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10149,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10032
10150,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10151,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10152,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10032
10153,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10154,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10155,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10156,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10032
10157,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10158,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10032
10159,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10032
10160,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10032
10161,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10032
10162,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10163,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10164,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10165,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10032
10166,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10032
10167,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10032
10168,Teicoplanin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10169,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10170,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10171,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10032
10172,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10032
10173,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10174,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10032
10175,*Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10032
10176,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10177,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10033
10178,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10179,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10033
10180,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10181,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10033
10182,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10033
10183,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10033
10184,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10033
10185,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10033
10186,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10187,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10033
10188,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10189,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10033
10190,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10033
10191,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10033
10192,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10033
10193,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10033
10194,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10033
10195,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10196,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10033
10197,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10198,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10199,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10200,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10033
10201,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10033
10202,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10203,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10204,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10205,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10206,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10033
10207,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10208,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10033
10209,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10210,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10033
10211,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10033
10212,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10033
10213,Mupirocin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10214,Teicoplanin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10215,Cefpodoxime,Default,ATTRCODE,Null,BSH,Desc,1,10033
10216,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10217,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10218,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10033
10219,*Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10033
10220,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10221,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10033
10222,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10223,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10224,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10225,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10226,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10034
10227,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10228,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10229,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10034
10230,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10231,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10034
10232,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10233,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10034
10234,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10034
10235,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10034
10236,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10034
10237,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10034
10238,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10239,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10034
10240,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10241,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10034
10242,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10034
10243,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10034
10244,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10034
10245,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10034
10246,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10034
10247,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10248,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10034
10249,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10250,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10251,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10252,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10034
10253,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10034
10254,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10034
10255,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10256,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10034
10257,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10034
10258,Teicoplanin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10259,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10260,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10261,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10034
10262,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10034
10263,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10264,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10034
10265,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10266,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10035
10267,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10268,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10035
10269,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10270,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10035
10271,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10035
10272,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10035
10273,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10035
10274,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10035
10275,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10276,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10035
10277,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10278,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10035
10279,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10035
10280,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10035
10281,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10035
10282,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10035
10283,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10035
10284,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10285,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10035
10286,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10287,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10288,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10289,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10035
10290,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10035
10291,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10292,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10293,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10294,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10295,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10035
10296,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10297,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10035
10298,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10299,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10035
10300,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10035
10301,Teicoplanin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10302,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10303,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10304,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10035
10305,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10035
10306,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10307,*Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10035
10308,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10035
10309,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10310,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10036
10311,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10312,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10313,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10036
10314,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10315,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10316,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10036
10317,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10036
10318,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10036
10319,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10036
10320,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10036
10321,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10036
10322,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10323,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10036
10324,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10325,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10036
10326,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10036
10327,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10036
10328,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10036
10329,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10036
10330,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10036
10331,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10332,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10036
10333,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10334,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10335,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10336,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10036
10337,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10036
10338,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10339,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10340,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10341,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10342,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10036
10343,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10036
10344,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10036
10345,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10346,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10347,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10036
10348,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10036
10349,*Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10036
10350,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10351,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10036
10352,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10037
10353,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10037
10354,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10037
10355,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10037
10356,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10037
10357,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10037
10358,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10037
10359,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10037
10360,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10037
10361,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10037
10362,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10037
10363,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10037
